scharbeutz_beach_data_4h_sum
datetime;occupancy
2020-11-25 12:00:00+00:00;409.875
2020-11-25 16:00:00+00:00;507.25
2020-11-25 20:00:00+00:00;541.0625
2020-11-26 00:00:00+00:00;408.0
2020-11-26 04:00:00+00:00;11.75
2020-11-26 08:00:00+00:00;138.3125
2020-11-26 12:00:00+00:00;322.9375
2020-11-26 16:00:00+00:00;421.875
2020-11-26 20:00:00+00:00;445.875
2020-11-27 00:00:00+00:00;338.25
2020-11-27 04:00:00+00:00;16.75
2020-11-27 08:00:00+00:00;221.75
2020-11-27 12:00:00+00:00;736.6875
2020-11-27 16:00:00+00:00;998.875
2020-11-27 20:00:00+00:00;1055.0
2020-11-28 00:00:00+00:00;798.75
2020-11-28 04:00:00+00:00;14.75
2020-11-28 08:00:00+00:00;196.4375
2020-11-28 12:00:00+00:00;893.25
2020-11-28 16:00:00+00:00;1231.4375
2020-11-28 20:00:00+00:00;1305.25
2020-11-29 00:00:00+00:00;990.375
2020-11-29 04:00:00+00:00;14.4375
2020-11-29 08:00:00+00:00;364.5625
2020-11-29 12:00:00+00:00;1544.0625
2020-11-29 16:00:00+00:00;1890.9375
2020-11-29 20:00:00+00:00;1928.625
2020-11-30 00:00:00+00:00;1449.0
2020-11-30 04:00:00+00:00;13.625
2020-11-30 08:00:00+00:00;130.8125
2020-11-30 12:00:00+00:00;247.0
2020-11-30 16:00:00+00:00;280.875
2020-11-30 20:00:00+00:00;298.3125
2020-12-01 00:00:00+00:00;225.5
2020-12-01 04:00:00+00:00;5.8125
2020-12-01 08:00:00+00:00;124.6875
2020-12-01 12:00:00+00:00;293.375
2020-12-01 16:00:00+00:00;300.875
2020-12-01 20:00:00+00:00;331.875
2020-12-02 00:00:00+00:00;252.75
2020-12-02 04:00:00+00:00;13.125
2020-12-02 08:00:00+00:00;174.375
2020-12-02 12:00:00+00:00;530.625
2020-12-02 16:00:00+00:00;610.375
2020-12-02 20:00:00+00:00;641.3125
2020-12-03 00:00:00+00:00;483.0
2020-12-03 04:00:00+00:00;12.3125
2020-12-03 08:00:00+00:00;169.8125
2020-12-03 12:00:00+00:00;224.5
2020-12-03 16:00:00+00:00;118.0625
2020-12-03 20:00:00+00:00;135.75
2020-12-04 00:00:00+00:00;103.3125
2020-12-04 04:00:00+00:00;10.6875
2020-12-04 08:00:00+00:00;104.8125
2020-12-04 12:00:00+00:00;200.4375
2020-12-04 16:00:00+00:00;148.5
2020-12-04 20:00:00+00:00;145.5625
2020-12-05 00:00:00+00:00;108.6875
2020-12-05 04:00:00+00:00;7.9375
2020-12-05 08:00:00+00:00;60.625
2020-12-05 12:00:00+00:00;215.25
2020-12-05 16:00:00+00:00;196.0625
2020-12-05 20:00:00+00:00;195.3125
2020-12-06 00:00:00+00:00;146.625
2020-12-06 04:00:00+00:00;5.5625
2020-12-06 08:00:00+00:00;80.125
2020-12-06 12:00:00+00:00;189.625
2020-12-06 16:00:00+00:00;100.75
2020-12-06 20:00:00+00:00;90.5625
2020-12-07 00:00:00+00:00;68.25
2020-12-07 04:00:00+00:00;3.125
2020-12-07 08:00:00+00:00;8.125
2020-12-07 12:00:00+00:00;-24.875
2020-12-07 16:00:00+00:00;-66.75
2020-12-07 20:00:00+00:00;-67.375
2020-12-08 00:00:00+00:00;-50.5
2020-12-08 04:00:00+00:00;0.0
2020-12-08 08:00:00+00:00;18.1875
